Delacorte Press,B-ORG,0
Delta,B-LOC,1
Bantam Dell [SEP],B-ORG,3
"A Division of Random House , Inc",B-ORG,4
New York,B-LOC,5
New York [SEP],B-LOC,5
Diana Gabaldon,B-PER,7
Library of Congress,B-ORG,8
##alog,I-MISC,8
Delta,B-ORG,10
"Random House , Inc",B-ORG,10
"Random House , Inc",B-ORG,10
##B,I-ORG,12
Voyager,B-ORG,16
Claire,B-PER,95
Claire,B-PER,95
Claire,B-PER,95
Claire,B-PER,96
Diana Gabaldon,B-PER,96
Claire,B-PER,96
Claire,B-PER,96
Claire,B-PER,97
Claire,B-PER,97
Claire,B-PER,97
Claire,B-PER,98
Claire,B-PER,98
Claire,B-PER,98
Claire,B-PER,98
Claire,B-PER,98
Claire,B-PER,99
Diana Gabaldon,B-PER,100
Men,I-MISC,102
##RB,I-ORG,0
Highland,B-MISC,1
Scotland,B-LOC,4
Will Ye No,I-MISC,5
Purgatory,B-LOC,8
God,B-LOC,8
Purgatory,B-LOC,8
Claire,B-PER,10
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Purgatory,B-LOC,11
Claire,B-PER,11
Claire,B-PER,11
Purgatory,B-LOC,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,11
Claire,B-PER,12
Claire,B-PER,12
Heaven,B-LOC,12
Ju,B-MISC,12
##gment Day,I-MISC,12
Ian,B-PER,12
Ian,B-PER,12
Ian,B-PER,13
Ian,B-PER,13
Ian,B-PER,13
Ian,B-PER,13
Ian,B-PER,13
Ian,B-PER,13
Ian,B-PER,14
Ian,B-PER,14
Ian,B-PER,14
James Fraser,B-PER,14
James Fraser,B-PER,16
Jack Randall,B-PER,17
Jamie,B-PER,17
Jamie,B-PER,17
Randall,B-PER,17
Randall,B-PER,17
Randall Randall,B-PER,17
Randall,B-PER,17
Jack Randall,B-PER,17
Jack Randall,B-PER,17
Jack Randall,B-PER,17
Jack Randall,B-PER,18
Jack Randall,B-PER,18
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Jack Randall,B-PER,19
Culloden Field,B-LOC,19
Jack Randall,B-PER,20
“ Fraser,B-PER,21
Jamie Fraser,B-PER,21
Jamie Fraser,B-PER,21
Jamie Fraser,B-PER,22
Jamie Fraser,B-PER,22
Jamie Fraser,B-PER,22
Jamie Fraser,B-PER,22
Jamie Fraser,B-PER,22
Claire,B-PER,22
Jamie Fraser,B-PER,22
Jamie Fraser,B-PER,23
Jamie Fraser,B-PER,23
Jamie Fraser,B-PER,23
Jamie Fraser,B-PER,23
Jack Randall,B-PER,23
Jamie,B-PER,24
MacDonald,B-PER,27
MacDonald,B-PER,27
MacDonald,B-PER,27
MacDonald,B-PER,27
Ewan Cameron,B-PER,27
Iain MacKinnon,B-PER,27
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
Iain MacKinn,B-PER,28
God,B-PER,28
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Iain MacK,B-PER,30
Iain MacKinn,B-PER,30
Iain MacKinn,B-PER,30
Murta,B-PER,31
Murta,B-PER,31
Murtagh,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Highland,B-MISC,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,I-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Murta,B-PER,31
Jamie,B-PER,32
Ewan,B-PER,32
Ewan,B-PER,32
Ewan,B-PER,33
Ewan,B-PER,33
Ewan,B-PER,33
Ewan E,B-PER,34
E,B-PER,34
Ewan,B-PER,34
E,B-PER,34
E,B-PER,34
Ewan,B-PER,36
Christ,B-PER,36
E,B-PER,36
Ewan,B-PER,37
Duncan MacDonald,B-PER,38
Na,B-PER,39
English,B-MISC,39
Na,B-PER,39
Drumoss,B-LOC,39
MacKinn,B-PER,40
English,B-MISC,40
D,B-MISC,41
D,B-PER,41
Jamie,B-PER,42
Lallybroch,B-LOC,42
D,B-PER,42
Culloden,B-LOC,42
D,B-PER,42
Claire,B-PER,42
Claire,B-PER,42
Cumberland,B-ORG,42
Highlands,B-LOC,42
Claire,B-PER,43
God,B-PER,43
Claire,B-PER,43
Claire,B-PER,43
Claire,B-PER,43
Lord,B-PER,43
Claire,B-PER,43
Claire,B-PER,43
Claire,B-PER,43
Claire,B-PER,44
Claire,B-PER,44
Claire,B-PER,44
Claire,B-PER,46
Claire,B-PER,46
MacDonald,B-PER,46
MacDonald,B-PER,46
MacDonald,B-PER,46
MacDonald,B-PER,46
English,B-MISC,47
Jamie,B-PER,47
Duncan MacDonald,B-PER,47
Ewan Cameron,B-PER,48
Ewan Cameron,B-PER,48
Ewan Cameron,B-PER,48
Ewan Cameron,B-PER,48
Ewan Cameron,B-PER,49
Ewan Cameron,B-PER,49
Ewan Cameron,B-PER,50
Ewan Cameron,B-PER,51
Jacobites,B-MISC,51
Ewan Cameron,B-PER,51
Ewan Cameron,B-PER,51
Lord Melton,B-PER,52
Mel,B-PER,52
Duncan MacDonald,B-PER,53
Duncan MacDonald,B-PER,53
Glen Richie,B-LOC,53
Glen Richie,B-PER,53
James,B-PER,53
Claire,B-PER,54
English,B-MISC,54
James,B-PER,54
James,B-PER,54
James,B-PER,54
James,B-PER,54
His,B-PER,55
Cumberland,B-LOC,55
Cumberland,B-LOC,55
Cumberland,B-LOC,55
Scots,B-MISC,56
MacDonald,B-PER,57
MacDonald,B-PER,57
Melton,B-PER,58
Melton,B-PER,58
Mel,B-PER,59
Mel,B-PER,59
Mel,B-PER,59
Mel,I-PER,59
Melton,B-ORG,59
Melton Melton,B-ORG,59
MacDonald,B-PER,59
MacDonald,B-PER,59
MacDonald,B-PER,59
MacDonald,B-PER,60
Giles McMartin,B-PER,60
Frederick Murray,B-PER,60
Frederick Murray,B-PER,60
Jamie,B-PER,61
Jamie,B-PER,61
Jamie,B-PER,61
Jamie,B-PER,61
Jamie,B-PER,61
Jamie,B-PER,62
Jamie,B-PER,62
Act of Contrition,B-MISC,62
French,B-MISC,62
Jamie,B-PER,62
Die,I-MISC,62
Jamie,B-PER,62
Jamie,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
God,B-PER,63
Claire,B-PER,63
Claire,B-PER,63
Claire,B-PER,64
Claire,B-PER,64
Claire,B-PER,64
Claire,B-PER,64
Claire,B-PER,64
Giles McMart,B-PER,64
Melton,B-PER,65
Melton,B-PER,65
MacDonald,B-PER,65
MacDonald,B-PER,65
MacDonald,B-PER,66
MacDonald,B-PER,66
Lord Melton,B-PER,66
Mel,B-PER,67
Mel,B-PER,67
” MacDonald,B-PER,68
MacDonald,B-PER,68
Duncan William MacLeod MacDonald,B-PER,68
Glen Richie,B-LOC,68
Glen Richie,B-PER,68
Lord Melton,B-PER,68
” Melton,B-PER,68
Mel,B-PER,69
Mel,B-PER,69
Ewan,B-PER,70
